Year,"Gas (TWh, direct energy)","Oil (TWh, direct energy)","Coal (TWh, direct energy)",co2 ppm in atmosphere,US consumption,US Production,US Imports,US Exports,US Net Imports
1965,6303.8203,18012.52,16177.694,320.04,6.458,5.908,0.85,0.305,0.545
1966,6868.814,19427.398,16359.431,321.37,12.084,9.824,2.573,0.198,2.375
1967,7374.058,20779.828,16095.517,322.18,12.56,10.512,2.537,0.307,2.23
1968,8044.3477,22511.285,16333.143,323.05,13.393,10.918,2.84,0.231,2.609
1969,8833.434,24446.174,16847,324.62,14.137,11.163,3.166,0.233,2.933
1970,9614.809,26672.713,17087.004,325.68,14.697,11.656,3.419,0.259,3.161
1971,10293.19,28117.908,16986.387,326.32,15.212,11.537,3.926,0.224,3.701
1972,10861.713,30331.375,17168.227,327.46,16.367,11.573,4.741,0.222,4.519
1973,11377.832,32722.135,17683.568,329.68,17.308,11.399,6.256,0.231,6.025
1974,11659.859,32224.648,17696.432,330.19,16.653,10.942,6.112,0.221,5.892
1975,11659.736,31992.346,18045.436,331.13,16.322,10.467,6.056,0.209,5.846
1976,12354.139,34059.953,18699.785,332.03,17.461,10.213,7.313,0.223,7.09
1977,12759.838,35189.734,19267.412,333.84,18.431,10.387,8.807,0.243,8.565
1978,13293.947,36703.98,19467.49,335.41,18.847,10.771,8.363,0.362,8.002
1979,14118.029,37182.266,20370.578,336.84,18.513,10.662,8.456,0.471,7.985
1980,14236.961,35561.332,20877.783,338.76,17.056,10.767,6.909,0.544,6.365
1981,14395.873,34295.703,21158.002,340.12,16.058,10.688,5.996,0.595,5.401
1982,14469.731,33270.605,21395.426,341.48,15.296,10.729,5.113,0.815,4.298
1983,14703.826,33099.758,22050.97,343.15,15.231,10.734,5.051,0.739,4.312
1984,15902.676,33624.367,23008.44,344.87,15.726,11.062,5.437,0.722,4.715
1985,16262.217,33686.312,23996.738,346.35,15.726,11.138,5.067,0.781,4.286
1986,16421.107,34717.92,24263.818,347.61,16.281,10.847,6.224,0.785,5.439
1987,17281.893,35513.047,25228.486,349.31,16.665,10.583,6.678,0.764,5.914
1988,18088.842,36628.914,25983.078,351.69,17.283,10.42,7.402,0.815,6.587
1989,18888.648,37209.367,26231.049,353.2,17.325,9.82,8.061,0.859,7.202
1990,19481.15,37608,25916.205,354.45,16.988,9.597,8.018,0.857,7.161
1991,19972.836,37688.625,25667.406,355.7,16.714,9.791,7.627,1.001,6.626
1992,20063.482,38192.87,25567.281,356.54,17.033,9.64,7.888,0.95,6.938
1993,20265.48,38024.57,25689.945,357.21,17.237,9.349,8.62,1.003,7.618
1994,20389.613,38852.32,25791.27,358.96,17.718,9.156,8.996,0.942,8.054
1995,21104.492,39431.895,25975.748,360.97,17.725,9.096,8.835,0.949,7.886
1996,22159.254,40326.613,26592.398,362.74,18.309,9.132,9.478,0.981,8.498
1997,22030.39,41422.08,26547.277,363.88,18.62,9.118,10.162,1.003,9.158
1998,22433.998,41583.832,26380.13,366.84,18.917,8.897,10.708,0.945,9.764
1999,23071.902,42266.777,26492.459,368.54,19.519,8.617,10.852,0.94,9.912
2000,23994.256,42983.43,27441.488,369.71,19.701,8.68,11.459,1.04,10.419
2001,24316.832,43366.16,27864.717,371.32,19.649,8.573,11.871,0.971,10.9
2002,25028.285,43650.734,28967.592,373.45,19.761,8.581,11.53,0.984,10.546
2003,25727.73,44580.05,31511.33,375.98,20.034,8.343,12.264,1.027,11.238
2004,26734.273,46367.14,33689.836,377.7,20.731,8.301,13.145,1.048,12.097
2005,27438.982,46965.55,36190.766,379.98,20.802,7.89,13.714,1.165,12.549
2006,28161.389,47468.766,38073.164,382.09,20.687,7.819,13.707,1.317,12.39
2007,29315.703,48022.76,40233.902,384.02,20.68,7.853,13.468,1.433,12.036
2008,30026.688,47628.992,40786.047,385.83,19.498,7.776,12.915,1.802,11.114
2009,29405.7,46566.066,40189.99,387.64,18.771,8.991,11.691,2.024,9.667
2010,31593.82,48058.23,41988.312,390.1,19.18,9.533,11.793,2.353,9.441
2011,32349.117,48400.316,43940.797,391.85,18.887,9.982,11.436,2.986,8.45
2012,33203.137,49164.34,44060.996,394.06,18.487,10.955,10.598,3.205,7.393
2013,33720.777,49654.363,44709.242,396.74,18.967,12.19,9.859,3.621,6.237
2014,33961.7,50011.83,44893.17,398.81,19.1,13.94,9.241,4.176,5.065
2015,34752.11,50977.21,43680.504,401.01,19.534,14.939,9.449,4.738,4.711
2016,35229.348,52060.85,42736.863,404.41,19.687,14.632,10.055,5.261,4.795
2017,36517.57,52978.8,43193.28,406.76,19.958,15.449,10.144,6.376,3.768
2018,38321.438,53521.387,43852.793,408.72,20.504,17.692,9.943,7.601,2.341
2019,39084.453,53618.926,43597.164,411.65,20.543,19.33,9.141,8.471,0.67
2020,38714.09,48745.684,42296.684,414.21,18.186,18.425,7.863,8.498,-0.635
2021,40239.016,51530.492,44600.08,416.41,19.89,18.784,8.474,8.536,-0.062
2022,40086.875,53226.84,44869.12,418.53,20.28,20.079,8.318,9.577,-1.26
